name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
77,"-69.50049461610001,-22.33320227215","-69.500504744,-22.333183167","-69.500504778,-22.3331927038","-69.5004844882,-22.3332213773","-69.5004844542,-22.3332118405",180.18894447573882,0.0038106000062781407
78,"-69.5004947522,-22.333240419550002","-69.5005048801,-22.3332213144","-69.5005049141,-22.3332308512","-69.5004846243,-22.3332595247","-69.5004845903,-22.3332499879",180.1889444240916,0.0038105996940105626
79,"-69.50049488830001,-22.333278566925","-69.5005050162,-22.3332594617","-69.5005050502,-22.3332689986","-69.5004847604,-22.3332976721","-69.5004847264,-22.3332881353",180.1889433817304,0.003810604033034886
80,"-69.50049502442499,-22.3333167143","-69.5005051523,-22.3332976091","-69.5005051864,-22.333307146","-69.5004848965,-22.3333358195","-69.5004848625,-22.3333262826",180.1892202199387,0.003810601885288975
81,"-69.50049516052499,-22.333354861700002","-69.5005052884,-22.3333357565","-69.5005053225,-22.3333452934","-69.5004850326,-22.3333739669","-69.5004849986,-22.33336443",180.18922009742275,0.0038106015730884494
82,"-69.50049529665,-22.33339300905","-69.5005054246,-22.3333739039","-69.5005054586,-22.3333834407","-69.5004851687,-22.3334121142","-69.5004851347,-22.3334025774",180.18894421737605,0.003810604076560688
83,"-69.50049543275,-22.333431156449997","-69.5005055607,-22.3334120513","-69.5005055947,-22.3334215881","-69.5004853048,-22.3334502616","-69.5004852708,-22.3334407248",180.18894413034735,0.0038106037641926927
84,"-69.50049556887501,-22.333469303850002","-69.5005056968,-22.3334501987","-69.5005057308,-22.3334597355","-69.500485441,-22.333488409","-69.5004854069,-22.3334788722",180.1892219615999,0.0038106006352842175
85,"-69.50049570497501,-22.3335074512","-69.5005058329,-22.333488346","-69.5005058669,-22.3334978829","-69.5004855771,-22.3335265564","-69.500485543,-22.3335170195",180.1892199257913,0.0038106003225168096
86,"-69.5004958411,-22.333545598599997","-69.500505969,-22.3335264934","-69.5005060031,-22.3335360303","-69.5004857132,-22.3335647038","-69.5004856791,-22.3335551669",180.18949775386463,0.0038106028259812866
87,"-69.500495977225,-22.333583745974998","-69.5005061051,-22.3335646408","-69.5005061392,-22.3335741776","-69.5004858493,-22.3336028512","-69.5004858153,-22.3335933143",180.1892208157742,0.003810604348859494
88,"-69.50049611335,-22.33362189335","-69.5005062413,-22.3336027882","-69.5005062753,-22.333612325","-69.5004859854,-22.3336409985","-69.5004859514,-22.3336314617",180.1889439426497,0.00381060220093701
89,"-69.50049624945,-22.33366004075","-69.5005063774,-22.3336409356","-69.5005064114,-22.3336504724","-69.5004861215,-22.3336791459","-69.5004860875,-22.3336696091",180.1889438555575,0.0038106018883313636
90,"-69.50049638555001,-22.3336981881","-69.5005065135,-22.3336790829","-69.5005065475,-22.3336886198","-69.5004862576,-22.3337172933","-69.5004862236,-22.3337077564",180.18894182280349,0.003810601575160176
91,"-69.500738947925,-22.333742188625","-69.5007490758,-22.3337230834","-69.5007491099,-22.3337326203","-69.50072882,-22.3337612938","-69.500728786,-22.333751757",180.18922059789801,0.003810603050485785
92,"-69.500739084125,-22.333780336025","-69.500749212,-22.3337612308","-69.5007492461,-22.3337707677","-69.5007289562,-22.3337994412","-69.5007289222,-22.3337899044",180.189220546174,0.0038106027378804197
93,"-69.500739220275,-22.333818483374998","-69.5007493482,-22.3337993782","-69.5007493822,-22.333808915","-69.5007290924,-22.3338375886","-69.5007290583,-22.3338280517",180.18922049439294,0.003810602425840946
94,"-69.50073935647501,-22.333856630775","-69.5007494844,-22.3338375256","-69.5007495184,-22.3338470624","-69.5007292286,-22.333875736","-69.5007291945,-22.3338661991",180.18922044260563,0.00381060211306942
95,"-69.50073949265,-22.333894778125","-69.5007496206,-22.3338756729","-69.5007496546,-22.3338852098","-69.5007293647,-22.3339138833","-69.5007293307,-22.3339043465",180.18894251171093,0.0038106046165116403
96,"-69.50073962885,-22.333932925525","-69.5007497568,-22.3339138203","-69.5007497908,-22.3339233572","-69.5007295009,-22.3339520307","-69.5007294669,-22.3339424939",180.18894242474454,0.0038106043043034154
97,"-69.50073976499999,-22.333971072875","-69.5007498929,-22.3339519677","-69.500749927,-22.3339615045","-69.5007296371,-22.3339901781","-69.500729603,-22.3339806412",180.18949813391433,0.0038106039916950126
98,"-69.50073990119999,-22.334009220275004","-69.5007500291,-22.3339901151","-69.5007500632,-22.3339996519","-69.5007297733,-22.3340283255","-69.5007297392,-22.3340187886",180.1894980822086,0.0038106036790856576
99,"-69.50074003739999,-22.334047367649998","-69.5007501653,-22.3340282625","-69.5007501994,-22.3340377993","-69.5007299095,-22.3340664728","-69.5007298754,-22.334056936",180.18949902384003,0.003810598714687207
100,"-69.50074017355,-22.334085515025002","-69.5007503015,-22.3340664098","-69.5007503355,-22.3340759467","-69.5007300456,-22.3341046202","-69.5007300116,-22.3340950834",180.188942217835,0.00381060305403119
101,"-69.50074030975,-22.334123662425","-69.5007504377,-22.3341045572","-69.5007504717,-22.3341140941","-69.5007301818,-22.3341427676","-69.5007301478,-22.3341332308",180.1889422015986,0.003810602741255228
102,"-69.50074044595,-22.334161809775","-69.5007505739,-22.3341427046","-69.5007506079,-22.3341522414","-69.500730318,-22.334180915","-69.500730284,-22.3341713781",180.18894218520444,0.003810602428479324
103,"-69.500740582125,-22.33419995715","-69.5007507101,-22.334180852","-69.5007507441,-22.3341903888","-69.5007304542,-22.3342190623","-69.5007304201,-22.3342095255",180.189221005612,0.003810600280297881
104,"-69.5007407183,-22.334238104525","-69.5007508462,-22.3342189993","-69.5007508803,-22.3342285362","-69.5007305904,-22.3342572097","-69.5007305563,-22.3342476729",180.1894977711509,0.0038106018032560145
105,"-69.500740854475,-22.334276251925","-69.5007509824,-22.3342571467","-69.5007510165,-22.3342666836","-69.5007307265,-22.3342953571","-69.5007306925,-22.3342858203",180.18921983796315,0.0038106043072611436
106,"-69.500740990675,-22.334314399275","-69.5007511186,-22.3342952941","-69.5007511527,-22.3343048309","-69.5007308627,-22.3343335045","-69.5007308287,-22.3343239676",180.18921985981837,0.0038106039944055675
107,"-69.500741126875,-22.334352546675","-69.5007512548,-22.3343334415","-69.5007512889,-22.3343429783","-69.5007309989,-22.3343716519","-69.5007309649,-22.334362115",180.18921980806135,0.0038106036816256145
108,"-69.50074126302499,-22.334390694025","-69.500751391,-22.3343715888","-69.500751425,-22.3343811257","-69.5007311351,-22.3344097992","-69.500731101,-22.3344002624",180.18921975630988,0.0038106033690111247
109,"-69.500741399225,-22.334428841424998","-69.5007515272,-22.3344097362","-69.5007515612,-22.3344192731","-69.5007312713,-22.3344479466","-69.5007312372,-22.3344384098",180.18921966917236,0.003810603056395546
110,"-69.500741535425,-22.334466988775","-69.5007516634,-22.3344478836","-69.5007516974,-22.3344574204","-69.5007314075,-22.334486094","-69.5007313734,-22.3344765571",180.1892196144707,0.0038106027437869007
111,"-69.5007416716,-22.334505136175","-69.5007517996,-22.334486031","-69.5007518336,-22.3344955678","-69.5007315436,-22.3345242414","-69.5007315096,-22.3345147045",180.18894172007714,0.003810605247442771
112,"-69.5007418078,-22.334543283524997","-69.5007519358,-22.3345241783","-69.5007519698,-22.3345337152","-69.5007316798,-22.3345623887","-69.5007316458,-22.3345528519",180.18894166845797,0.003810604934990125
113,"-69.500577267375,-22.33372031305","-69.5007520719,-22.3345623257","-69.500752106,-22.3345718626","-69.5004024628,-22.3328783004","-69.5004024288,-22.3328687635",180.18921959990757,0.19171857179220297
114,"-69.50041272680001,-22.3328973426","-69.5004228547,-22.3328782374","-69.5004228887,-22.3328877743","-69.5004025989,-22.3329164478","-69.5004025649,-22.3329069109",180.18894287229762,0.0038106025055667384
115,"-69.5004128629,-22.33293548995","-69.5004229908,-22.3329163848","-69.5004230248,-22.3329259216","-69.500402735,-22.3329545951","-69.500402701,-22.3329450583",180.18894480183113,0.0038106021929726064
116,"-69.50041299897501,-22.33297363735","-69.5004231269,-22.3329545322","-69.5004231609,-22.332964069","-69.5004028711,-22.3329927425","-69.500402837,-22.3329832057",180.18922259872255,0.0038106046970305596
117,"-69.50041313507501,-22.33301178475","-69.500423263,-22.3329926796","-69.500423297,-22.3330022164","-69.5004030072,-22.3330308899","-69.5004029731,-22.3330213531",180.18922261766767,0.003810604384033576
118,"-69.500413271125,-22.33304993215","-69.500423399,-22.333030827","-69.5004234331,-22.3330403638","-69.5004031432,-22.3330690373","-69.5004031092,-22.3330595005",180.1892225306209,0.0038106040712707883
119,"-69.500413407225,-22.3330880795","-69.5004235351,-22.3330689743","-69.5004235692,-22.3330785112","-69.5004032793,-22.3331071847","-69.5004032453,-22.3330976478",180.18922049477567,0.0038106037582733214
120,"-69.500413543325,-22.3331262269","-69.5004236712,-22.3331071217","-69.5004237053,-22.3331166586","-69.5004034154,-22.3331453321","-69.5004033814,-22.3331357952",180.18922040770389,0.0038106034456752364
121,"-69.5004136794,-22.33316437425","-69.5004238073,-22.3331452691","-69.5004238413,-22.3331548059","-69.5004035515,-22.3331834794","-69.5004035175,-22.3331739426",180.18894452711095,0.003810600316831288
122,"-69.5004138155,-22.33320252165","-69.5004239434,-22.3331834165","-69.5004239774,-22.3331929533","-69.5004036876,-22.3332216268","-69.5004036536,-22.33321209",180.18894451078197,0.0038106000045641537
123,"-69.500413951575,-22.33324066905","-69.5004240795,-22.3332215639","-69.5004241135,-22.3332311007","-69.5004038237,-22.3332597742","-69.5004037896,-22.3332502374",180.18922223653624,0.0038106025082792765
124,"-69.50041408767501,-22.333278816449997","-69.5004242156,-22.3332597113","-69.5004242496,-22.3332692481","-69.5004039598,-22.3332979216","-69.5004039257,-22.3332883848",180.18922222003647,0.0038106021962449107
125,"-69.50041422375,-22.3333169638","-69.5004243517,-22.3332978586","-69.5004243857,-22.3333073955","-69.5004040958,-22.333336069","-69.5004040618,-22.3333265321",180.18894230384092,0.0038106046999552947
126,"-69.50041435985,-22.3333551112","-69.5004244878,-22.333336006","-69.5004245218,-22.3333455429","-69.5004042319,-22.3333742164","-69.5004041979,-22.3333646795",180.18894228757472,0.003810604387118247
127,"-69.50041449595,-22.33339325855","-69.5004246239,-22.3333741534","-69.5004246579,-22.3333836902","-69.500404368,-22.3334123637","-69.500404334,-22.3334028269",180.18894425238767,0.003810604074185601
128,"-69.50041463205,-22.33343140595","-69.50042476,-22.3334123008","-69.500424794,-22.3334218376","-69.5004045041,-22.3334505111","-69.5004044701,-22.3334409743",180.18894413000936,0.003810603761913166
129,"-69.50041476815,-22.33346955335","-69.5004248961,-22.3334504482","-69.5004249301,-22.333459985","-69.5004046402,-22.3334886585","-69.5004046062,-22.3334791217",180.18894414902928,0.003810603449144483
130,"-69.50041490425001,-22.333507700699997","-69.5004250322,-22.3334885955","-69.5004250662,-22.3334981324","-69.5004047763,-22.3335268059","-69.5004047423,-22.333517269",180.18894201016198,0.0038106031363060603
131,"-69.500415040325,-22.3335458481","-69.5004251682,-22.3335267429","-69.5004252023,-22.3335362798","-69.5004049124,-22.3335649533","-69.5004048784,-22.3335554164",180.1892198736602,0.003810600007233723
132,"-69.5004151764,-22.3335839955","-69.5004253043,-22.3335648903","-69.5004253384,-22.3335744272","-69.5004050485,-22.3336031007","-69.5004050144,-22.3335935638",180.18949770175792,0.0038106025114972328
133,"-69.5004153125,-22.33362214285","-69.5004254404,-22.3336030377","-69.5004254745,-22.3336125745","-69.5004051846,-22.333641248","-69.5004051505,-22.3336317112",180.1894996368924,0.0038106021987271725
134,"-69.50041544857501,-22.333660290250002","-69.5004255765,-22.3336411851","-69.5004256106,-22.3336507219","-69.5004053206,-22.3336793954","-69.5004052866,-22.3336698586",180.18922170250974,0.003810604703160519
135,"-69.500415584675,-22.33369843765","-69.5004257126,-22.3336793325","-69.5004257467,-22.3336888693","-69.5004054567,-22.3337175428","-69.5004054227,-22.333708006",180.18922161546766,0.003810604390222578
136,"-69.50033185835,-22.33287851835","-69.5003419863,-22.3328594132","-69.5003420203,-22.33286895","-69.5003217304,-22.3328976235","-69.5003216964,-22.3328880867",180.1889449497096,0.0038106082922357994
137,"-69.5003319944,-22.33291666575","-69.5003421223,-22.3328975606","-69.5003421563,-22.3329070974","-69.5003218665,-22.3329357709","-69.5003218325,-22.3329262341",180.18894482730065,0.0038106023465902224
138,"-69.5003321305,-22.332954813125003","-69.5003422584,-22.332935708","-69.5003422924,-22.3329452448","-69.5003220026,-22.3329739183","-69.5003219686,-22.3329643814",180.18894385576385,0.0038105973822855233
