name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
86,"-68.5748657071,-24.0281398011","-68.574887055,-24.0279428254","-68.5748857588,-24.0283368918","-68.5748443591,-24.0283367769","-68.5748456555,-24.0279427105",179.8278381081272,0.0042045377590733245
87,"-68.5747496702,-24.0281394791","-68.5747710183,-24.0279425033","-68.5747697217,-24.0283365697","-68.574728322,-24.0283364548","-68.5747296187,-24.0279423884",179.8277920550112,0.004204542846933992
88,"-68.5746336333,-24.0281391569","-68.5746549815,-24.0279421812","-68.5746536846,-24.0283362476","-68.5746122849,-24.0283361326","-68.574613582,-24.0279420663",179.82774528524686,0.00420453779705122
89,"-68.5745175963,-24.0281388347","-68.5745389448,-24.027941859","-68.5745376475,-24.0283359254","-68.5744962478,-24.0283358104","-68.5744975452,-24.027941744",179.82769856348,0.004204542901817388
90,"-68.5744015594,-24.0281385124","-68.574422908,-24.0279415367","-68.5744216104,-24.0283356031","-68.5743802107,-24.0283354881","-68.5743815085,-24.0279414217",179.82765250663172,0.004204537835038359
91,"-68.5742855225,-24.02813819","-68.5743068713,-24.0279412143","-68.5743055733,-24.0283352807","-68.5742641736,-24.0283351656","-68.5742654717,-24.0279410993",179.82760574141668,0.004204542939825768
92,"-68.5741694855,-24.0281378675","-68.5741908345,-24.0279408918","-68.5741895362,-24.0283349582","-68.5741481365,-24.0283348431","-68.574149435,-24.0279407768",179.82755968456294,0.004204537873053256
93,"-68.5762594573,-24.0277450764","-68.5762808031,-24.0275481005","-68.5762795111,-24.0279421669","-68.5762381115,-24.0279420524","-68.5762394036,-24.0275479859",179.82840168247952,0.004204545476319814
94,"-68.5761434207,-24.0277447555","-68.5761647666,-24.0275477795","-68.5761634743,-24.027941846","-68.5761220748,-24.0279417314","-68.5761233672,-24.0275476649",179.82836153304962,0.004204535348280403
95,"-68.5760273841,-24.0277444344","-68.5760487302,-24.0275474584","-68.5760474375,-24.0279415249","-68.576006038,-24.0279414103","-68.5760073308,-24.0275473438",179.8283088980657,0.004204535358063408
96,"-68.5759113475,-24.0277441132","-68.5759326938,-24.0275471373","-68.5759314008,-24.0279412037","-68.5758900012,-24.0279410891","-68.5758912944,-24.0275470227",179.82826280246383,0.004204540447335613
97,"-68.5757953109,-24.0277437919","-68.5758166574,-24.027546816","-68.575815364,-24.0279408825","-68.5757739644,-24.0279407679","-68.5757752579,-24.0275467014",179.8282167924474,0.004204545534463018
98,"-68.5756792743,-24.0277434706","-68.575700621,-24.0275464947","-68.5756993272,-24.0279405612","-68.5756579277,-24.0279404465","-68.5756592215,-24.02754638",179.82816935222723,0.004204540501367102
99,"-68.5755632378,-24.0277431492","-68.5755845845,-24.0275461733","-68.5755832905,-24.0279402397","-68.5755418909,-24.027940125","-68.5755431851,-24.0275460586",179.82812983456574,0.004204540512589242
100,"-68.5754472012,-24.0277428276","-68.5754685481,-24.0275458518","-68.5754672537,-24.0279399182","-68.5754258541,-24.0279398035","-68.5754271487,-24.0275457371",179.82807719958936,0.004204540522385345
101,"-68.5753311646,-24.027742506","-68.5753525117,-24.0275455302","-68.5753512169,-24.0279395966","-68.5753098174,-24.0279394819","-68.5753111123,-24.0275454154",179.8280304738937,0.004204535472456442
102,"-68.575215128,-24.0277421843","-68.5752364753,-24.0275452085","-68.5752351802,-24.0279392749","-68.5751937806,-24.0279391602","-68.5751950759,-24.0275450937",179.8279844205946,0.00420454056030403
103,"-68.5750990914,-24.0277418626","-68.5751204389,-24.0275448867","-68.5751191434,-24.0279389532","-68.5750777439,-24.0279388384","-68.5750790395,-24.0275447719",179.82793769319582,0.00420453551037882
104,"-68.5749830548,-24.0277415407","-68.5750044025,-24.0275445649","-68.5750031067,-24.0279386313","-68.5749617071,-24.0279385165","-68.5749630031,-24.02754445",179.8278909288329,0.004204540615119431
105,"-68.5748670183,-24.0277412187","-68.5748883661,-24.027544243","-68.5748870699,-24.0279383094","-68.5748456703,-24.0279381945","-68.5748469667,-24.0275441281",179.82783758181347,0.004204540643259961
106,"-68.5747509817,-24.0277408967","-68.5747723297,-24.0275439209","-68.5747710331,-24.0279379873","-68.5747296336,-24.0279378724","-68.5747309303,-24.027543806",179.82779152398766,0.004204535575030761
107,"-68.5746349451,-24.0277405745","-68.5746562933,-24.0275435988","-68.5746549964,-24.0279376652","-68.5746135968,-24.0279375503","-68.5746148939,-24.0275434839",179.82774547152357,0.0042045406628914185
108,"-68.5745189085,-24.0277402523","-68.5745402569,-24.0275432766","-68.5745389596,-24.027937343","-68.5744975601,-24.027937228","-68.5744988575,-24.0275431616",179.82769803214757,0.004204535629913787
109,"-68.574402872,-24.02773993","-68.5744242205,-24.0275429543","-68.5744229229,-24.0279370207","-68.5743815233,-24.0279369057","-68.5743828211,-24.0275428393",179.8276519788895,0.004204540718502592
110,"-68.5742868354,-24.0277396076","-68.5743081841,-24.0275426319","-68.5743068861,-24.0279366983","-68.5742654866,-24.0279365833","-68.5742667847,-24.0275425169",179.8276059218773,0.004204535651726441
111,"-68.5741707988,-24.0277392851","-68.5741921477,-24.0275423095","-68.5741908494,-24.0279363758","-68.5741494499,-24.0279362608","-68.5741507483,-24.0275421944",179.82756573373277,0.004204535678470544
112,"-68.5759130852,-24.0272145666","-68.5759344313,-24.0270175907","-68.5759331383,-24.0274116572","-68.5758917389,-24.0274115426","-68.575893032,-24.0270174761",179.82826872521036,0.004204542536812739
113,"-68.575797049,-24.0272142454","-68.5758183954,-24.0270172694","-68.575817102,-24.0274113359","-68.5757757026,-24.0274112213","-68.5757769961,-24.0270171548",179.8282160892182,0.004204542547323663
114,"-68.5756810129,-24.027213924","-68.5757023594,-24.0270169481","-68.5757010657,-24.0274110146","-68.5756596663,-24.0274108999","-68.5756609602,-24.0270168335",179.82816932090654,0.004204537496611253
115,"-68.5755649768,-24.0272136026","-68.5755863235,-24.0270166267","-68.5755850294,-24.0274106932","-68.5755436301,-24.0274105785","-68.5755449242,-24.027016512",179.8281291742257,0.004204537523999741
116,"-68.5754489407,-24.0272132811","-68.5754702875,-24.0270163052","-68.5754689931,-24.0274103717","-68.5754275938,-24.027410257","-68.5754288883,-24.0270161905",179.82808311787812,0.00420453245643577
117,"-68.5753329046,-24.0272129595","-68.5753542516,-24.0270159836","-68.5753529569,-24.0274100501","-68.5753115575,-24.0274099353","-68.5753128523,-24.0270158689",179.8280429334298,0.004204542639975998
118,"-68.5752168685,-24.0272126378","-68.5752382157,-24.027015662","-68.5752369206,-24.0274097284","-68.5751955212,-24.0274096136","-68.5751968164,-24.0270155472",179.82798958625858,0.004204542667371769
119,"-68.5751008324,-24.027212316","-68.5751221797,-24.0270153402","-68.5751208843,-24.0274094067","-68.5750794849,-24.0274092918","-68.5750807805,-24.0270152254",179.82794285950143,0.004204537616703504
120,"-68.5749847963,-24.0272119942","-68.5750061438,-24.0270150184","-68.575004848,-24.0274090848","-68.5749634486,-24.02740897","-68.5749647446,-24.0270149035",179.82789022594773,0.004204537627233037
121,"-68.5748687601,-24.0272116722","-68.5748901079,-24.0270146964","-68.5748888117,-24.0274087629","-68.5748474123,-24.027408648","-68.5748487086,-24.0270145815",179.82784350130373,0.00420454273273353
122,"-68.574752724,-24.0272113502","-68.574774072,-24.0270143744","-68.5747727754,-24.0274084408","-68.5747313761,-24.0274083259","-68.5747326727,-24.0270142595",179.82779740248728,0.004204537665203739
123,"-68.5746366879,-24.027211028","-68.574658036,-24.0270140523","-68.5746567392,-24.0274081187","-68.5746153398,-24.0274080038","-68.5746166368,-24.0270139373",179.82775725582115,0.004204537691905871
124,"-68.5745206519,-24.0272107058","-68.5745420001,-24.0270137301","-68.5745407029,-24.0274077965","-68.5744993035,-24.0274076815","-68.5745006009,-24.0270136151",179.82770390859244,0.004204537719349039
125,"-68.5744046158,-24.0272103835","-68.5744259642,-24.0270134078","-68.5744246666,-24.0274074742","-68.5743832672,-24.0274073592","-68.5743845649,-24.0270132928",179.8276578551689,0.004204542807974079
126,"-68.5742885797,-24.0272100611","-68.5743099283,-24.0270130854","-68.5743086304,-24.0274071518","-68.574267231,-24.0274070368","-68.574268529,-24.0270129704",179.82761837968974,0.004204542819242611
127,"-68.5741725436,-24.0272097386","-68.5741938924,-24.027012763","-68.5741925941,-24.0274068294","-68.5741511947,-24.0274067143","-68.5741524931,-24.0270126479",179.8275643612928,0.0042045428636239435
128,"-68.5762625003,-24.0268169473","-68.5762838458,-24.0266199713","-68.576282554,-24.0270140378","-68.5762411547,-24.0270139233","-68.5762424467,-24.0266198568",179.82842090365665,0.004204540277087374
129,"-68.5761464645,-24.0268166263","-68.5761678103,-24.0266196503","-68.576166518,-24.0270137169","-68.5761251187,-24.0270136023","-68.5761264111,-24.0266195358",179.82836102061714,0.004204545381084562
130,"-68.5760304288,-24.0268163053","-68.5760517747,-24.0266193293","-68.5760504821,-24.0270133958","-68.5760090828,-24.0270132812","-68.5760103755,-24.0266192147",179.82832083141693,0.004204545409152724
131,"-68.575914393,-24.0268159841","-68.5759357391,-24.0266190081","-68.5759344461,-24.0270130747","-68.5758930469,-24.0270129601","-68.5758943399,-24.0266188936",179.82827548773872,0.00420454032473298
132,"-68.5757983572,-24.0268156629","-68.5758197035,-24.0266186869","-68.5758184102,-24.0270127534","-68.5757770109,-24.0270126388","-68.5757783044,-24.0266185723",179.82822214128566,0.004204540352070477
133,"-68.5756823215,-24.0268153415","-68.5757036679,-24.0266183656","-68.5757023742,-24.0270124321","-68.575660975,-24.0270123174","-68.5756622688,-24.026618251",179.82817537118245,0.004204535301357715
134,"-68.5755662857,-24.0268150201","-68.5755876323,-24.0266180442","-68.5755863383,-24.0270121107","-68.575544939,-24.027011996","-68.5755462332,-24.0266179295",179.8281286480336,0.004204540406811411
135,"-68.57545025,-24.0268146986","-68.5754715967,-24.0266177227","-68.5754703024,-24.0270117892","-68.5754289031,-24.0270116745","-68.5754301976,-24.026617608",179.82808917251222,0.0042045404173286765
136,"-68.5753342142,-24.026814377","-68.5753555612,-24.0266174011","-68.5753542664,-24.0270114676","-68.5753128672,-24.0270113529","-68.575314162,-24.0266172864",179.82803653717144,0.004204540427864781
