name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
83,"-70.792751136825,-33.093529224475","-70.7927708415,-33.0939266626","-70.7927475773,-33.0939269973","-70.7927314323,-33.0931317863","-70.7927546962,-33.0931314517",180.97448487609657,0.0021675268838603967
84,"-70.792699938825,-33.09352996095","-70.7927196432,-33.0939273991","-70.7926963791,-33.0939277338","-70.7926802345,-33.0931325228","-70.7927034985,-33.0931321881",180.97445474005406,0.0021675269618614545
85,"-70.7926487408,-33.0935306974","-70.792668445,-33.0939281356","-70.7926451808,-33.0939284702","-70.7926290367,-33.0931332592","-70.7926523007,-33.0931329246",180.97442741506055,0.002167531409370575
86,"-70.7925975428,-33.09353143385","-70.7926172467,-33.093928872","-70.7925939826,-33.0939292067","-70.792577839,-33.0931339957","-70.7926011029,-33.093133661",180.97439743169178,0.002167522267624938
87,"-70.792546344775,-33.0935321703","-70.7925660485,-33.0939296085","-70.7925427843,-33.0939299431","-70.7925266412,-33.0931347321","-70.7925499051,-33.0931343975",180.9743701063374,0.002167526716464038
88,"-70.79249514675,-33.093532906700005","-70.7925148502,-33.0939303449","-70.7924915861,-33.0939306795","-70.7924754434,-33.0931354685","-70.7924987073,-33.0931351339",180.9743429602731,0.002167522041091193
89,"-70.792443948725,-33.09353364305","-70.792463652,-33.0939310813","-70.7924403878,-33.0939314159","-70.7924242456,-33.0931362048","-70.7924475095,-33.0931358702",180.97431568892262,0.002167526678840008
90,"-70.7923927507,-33.09353437945","-70.7924124537,-33.0939318177","-70.7923891896,-33.0939321523","-70.7923730478,-33.0931369412","-70.7923963117,-33.0931366066",180.97428854287114,0.002167522004129066
91,"-70.792341552675,-33.09353511575","-70.7923612555,-33.093932554","-70.7923379913,-33.0939328886","-70.79232185,-33.0931376775","-70.7923451139,-33.0931373429",180.9742613943698,0.00216752664320946
92,"-70.79229035464999,-33.093535852075","-70.7923100572,-33.0939332904","-70.7922867931,-33.0939336249","-70.7922706522,-33.0931384138","-70.7922939161,-33.0931380792",180.9742340984701,0.00216752187174193
93,"-70.792239156625,-33.0935365884","-70.792258859,-33.0939340267","-70.7922355948,-33.0939343613","-70.7922194544,-33.0931391501","-70.7922427183,-33.0931388155",180.9742069769803,0.002167526606911537
94,"-70.792187958575,-33.093537324675","-70.7922076607,-33.093934763","-70.7921843965,-33.0939350975","-70.7921682566,-33.0931398864","-70.7921915205,-33.0931395518",180.97417678728172,0.002167526493342911
95,"-70.79213676055,-33.09353806095","-70.7921564624,-33.0939354993","-70.7921331983,-33.0939358338","-70.7921170588,-33.0931406226","-70.7921403227,-33.0931402881",180.97414949104845,0.0021675217232067848
