name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
90,"-70.2996398771,-25.1265625533","-70.2996554684,-25.126400414","-70.2996588967,-25.1267243889","-70.2996242858,-25.1267246925","-70.2996208576,-25.1264007175",180.54896120892442,0.0034845338886916283
91,"-70.2995605109,-25.1265632493","-70.2995761023,-25.12640111","-70.2995795303,-25.126725085","-70.2995449195,-25.1267253885","-70.2995414915,-25.1264014135",180.54892062961488,0.003484528781497067
92,"-70.2994799228,-25.1265639559","-70.2994955143,-25.1264018167","-70.2994989422,-25.1267257917","-70.2994643313,-25.1267260952","-70.2994609035,-25.1264021202",180.548896825189,0.003484533794829621
93,"-70.3009219328,-25.1268983041","-70.3009375225,-25.1267361648","-70.3009409541,-25.1270601396","-70.3009063432,-25.1270604434","-70.3009029116,-25.1267364687",180.54949651241623,0.003484529669693601
94,"-70.3008425665,-25.1268990008","-70.3008581562,-25.1267368616","-70.3008615877,-25.1270608363","-70.3008269767,-25.1270611401","-70.3008235453,-25.1267371654",180.54947194689035,0.00348453462867167
95,"-70.3007632001,-25.1268996975","-70.3007787899,-25.1267375582","-70.3007822212,-25.127061533","-70.3007476102,-25.1270618368","-70.300744179,-25.126737862",180.54944005219352,0.003484534608087421
96,"-70.3006838337,-25.1269003941","-70.3006994236,-25.1267382548","-70.3007028547,-25.1270622296","-70.3006682437,-25.1270625334","-70.3006648128,-25.1267385586",180.54940040320722,0.003484529556165542
97,"-70.3006012307,-25.1269011191","-70.3006168208,-25.1267389798","-70.3006202516,-25.1270629546","-70.3005856407,-25.1270632584","-70.3005822099,-25.1267392836",180.54936867442885,0.0034845295347861087
98,"-70.2972350158,-25.1258868678","-70.2972506102,-25.1257247287","-70.297254032,-25.1260487039","-70.2972194213,-25.1260490069","-70.2972159996,-25.1257250316",180.54792252416735,0.0034845323794866394
99,"-70.2971556499,-25.1258875625","-70.2971712445,-25.1257254234","-70.2971746661,-25.1260493986","-70.2971400554,-25.1260497016","-70.2971366338,-25.1257257263",180.5478987217154,0.0034845373939194593
100,"-70.2970762841,-25.1258882572","-70.2970918787,-25.125726118","-70.2970953001,-25.1260500933","-70.2970606894,-25.1260503963","-70.2970572681,-25.125726421",180.547859832815,0.0034845323936100476
101,"-70.2969969182,-25.1258889518","-70.297012513,-25.1257268127","-70.2970159342,-25.126050788","-70.2969813234,-25.1260510909","-70.2969779024,-25.1257271156",180.54781847447828,0.0034845372998166613
102,"-70.2969198562,-25.1258896262","-70.2969354511,-25.1257274871","-70.2969388721,-25.1260514624","-70.2969042613,-25.12605176530001","-70.2969008405,-25.12572779",180.54778674582866,0.0034845372805888696
103,"-70.296846098,-25.1265911215","-70.296861693,-25.1264289824","-70.2968651139,-25.1267529577","-70.296830503,-25.1267532606","-70.2968270822,-25.1264292853",180.54777570639686,0.0034845323745456257
104,"-70.2967646966,-25.1265918338","-70.2967802918,-25.1264296947","-70.2967837124,-25.12675367","-70.2967491015,-25.1267539729","-70.2967456809,-25.1264299976",180.54773604171925,0.003484537387729634
105,"-70.2966853303,-25.1265925283","-70.2967009255,-25.1264303892","-70.296704346,-25.1267543645","-70.2966697351,-25.1267546674","-70.2966663147,-25.126430692",180.54771132092418,0.003484532280692218
106,"-70.2966037348,-25.12659324219999","-70.2966193301,-25.1264311031","-70.2966227504,-25.1267550785","-70.2965881394,-25.1267553813","-70.2965847193,-25.126431406",180.547671657337,0.003484537293815928
107,"-70.2965251468,-25.1265925541","-70.2965407422,-25.12643041500001","-70.2965441623,-25.1267543903","-70.2965095513,-25.1267546931","-70.2965061314,-25.12643071780001",180.5476391752335,0.003484537258997818
108,"-70.2968418475,-25.1258919063","-70.2968574424,-25.1257297672","-70.2968608632,-25.1260537425","-70.2968262525,-25.1260540454","-70.2968228318,-25.1257300701",180.54776295088834,0.0034845321820433216
109,"-70.2967604466,-25.1258926186","-70.2967760416,-25.1257304795","-70.2967794622,-25.12605445479999","-70.2967448515,-25.1260547577","-70.296741431,-25.1257307824",180.5477312240498,0.0034845321624499626
110,"-70.2966810807,-25.1258933131","-70.2966966759,-25.12573117399999","-70.2967000962,-25.1260551493","-70.2966654855,-25.1260554521","-70.2966620653,-25.1257314768",180.5476819402317,0.0034845320344659043
111,"-70.2965994856,-25.125894027","-70.2966150809,-25.1257318879","-70.2966185011,-25.1260558632","-70.2965838903,-25.1260561661","-70.2965804703,-25.1257321907",180.54765890216768,0.003484537101345611
112,"-70.2965208981,-25.1258933388","-70.2965364935,-25.1257311997","-70.2965399134,-25.1260551751","-70.2965053027,-25.1260554779","-70.2965018828,-25.1257315025",180.5476262494389,0.0034845370672556787
113,"-70.2964402237,-25.1258959791","-70.2964558192,-25.12573384","-70.2964592389,-25.1260578154","-70.2964246282,-25.1260581182","-70.2964212085,-25.1257341428",180.54759451306214,0.003484536991955752
114,"-70.2963628928,-25.1258966556","-70.2963784884,-25.1257345165","-70.2963819079,-25.1260584919","-70.2963472972,-25.1260587947","-70.2963438778,-25.1257348193",180.54755486378542,0.0034845319391345053
115,"-70.2962845445,-25.1258973409","-70.2963001402,-25.1257352019","-70.2963035595,-25.1260591772","-70.2962689487,-25.12605948","-70.2962655295,-25.1257355046",180.5475223579802,0.003484541932919758
116,"-70.2962041611,-25.125898044","-70.2962197569,-25.125735905","-70.296223176,-25.1260598804","-70.2961885652,-25.1260601831","-70.2961851462,-25.1257362077",180.54748969814705,0.003484541859155061
117,"-70.2961207251,-25.1258987738","-70.296136321,-25.1257366347","-70.2961397399,-25.1260606101","-70.2961051292,-25.1260609128","-70.2961017104,-25.1257369374",180.5474579875654,0.003484531772013408
118,"-70.2960433943,-25.1258994501","-70.2960589903,-25.125737311","-70.296062409,-25.1260612865","-70.2960277982,-25.1260615891","-70.2960243796,-25.1257376137",180.54742531534953,0.003484541765357927
119,"-70.2959650459,-25.1259001353","-70.295980642,-25.1257379962","-70.2959840605,-25.1260619716","-70.2959494497,-25.1260622743","-70.2959460314,-25.1257382989",180.54738659612252,0.00348453676598532
120,"-70.29588568,-25.1259008293","-70.2959012762,-25.1257386902","-70.2959046945,-25.1260626657","-70.2958700837,-25.1260629683","-70.2958666656,-25.1257389929",180.5473539373305,0.0034845366924979165
121,"-70.2958054578,-25.1258558917","-70.2958208929,-25.1257393931","-70.2958246333,-25.1259720876","-70.2957900226,-25.1259723902","-70.2957862823,-25.1257396958",180.8287782564195,0.003484532940583503
122,"-70.2972422994,-25.1262367505","-70.2972578939,-25.1260746114","-70.2972613157,-25.1263985866","-70.2972267049,-25.1263988896","-70.2972232831,-25.1260749143",180.5479288939656,0.003484537501501594
123,"-70.2971629333,-25.1262374452","-70.2971785279,-25.1260753061","-70.2971819496,-25.1263992814","-70.2971473387,-25.1263995843","-70.2971439172,-25.126075609",180.5478962341232,0.003484537427927207
124,"-70.2970835673,-25.1262381399","-70.2970991619,-25.1260760008","-70.2971025834,-25.1263999761","-70.2970679726,-25.126400279","-70.2970645512,-25.1260763037",180.54787244726407,0.0034845323746122625
125,"-70.2970042012,-25.1262388345","-70.2970197959,-25.1260766954","-70.2970232172,-25.1264006707","-70.2969886064,-25.1264009736","-70.2969851852,-25.1260769983",180.54784071965867,0.003484532354804274
126,"-70.296927139,-25.126239509","-70.2969427338,-25.1260773699","-70.2969461549,-25.1264013451","-70.2969115441,-25.126401648","-70.2969081231,-25.1260776728",180.54780916046047,0.00348453233557096
