name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
187,"-69.5273603583,-22.331312626849996","-69.5273815457,-22.3313039111","-69.527381545,-22.331321344","-69.5273391709,-22.3313213426","-69.5273391716,-22.3313039097",179.9978719049684,0.004358411458252264
188,"-69.5273603576,-22.33133005975","-69.527381545,-22.331321344","-69.5273815443,-22.3313387769","-69.5273391702,-22.3313387755","-69.5273391709,-22.3313213426",179.9978718665579,0.004358410914264137
189,"-69.52736035695,-22.331347492600003","-69.5273815443,-22.3313387769","-69.5273815437,-22.3313562097","-69.5273391696,-22.3313562083","-69.5273391702,-22.3313387755",179.99817590024918,0.0043584103702771675
190,"-69.5273603563,-22.331364925450004","-69.5273815437,-22.3313562097","-69.527381543,-22.3313736426","-69.5273391689,-22.3313736412","-69.5273391696,-22.3313562083",179.99787190576671,0.004358409825558963
191,"-69.52736039404999,-22.330717712050003","-69.5273815815,-22.3307089963","-69.5273815808,-22.3307264292","-69.5273392066,-22.3307264278","-69.5273392073,-22.3307089949",179.99787187655375,0.004358440332861522
192,"-69.52736039339999,-22.3307351449","-69.5273815808,-22.3307264292","-69.5273815802,-22.330743862","-69.527339206,-22.3307438606","-69.5273392066,-22.3307264278",179.99817589224102,0.004358439788887444
193,"-69.52736039275,-22.330752577749998","-69.5273815802,-22.330743862","-69.5273815795,-22.3307612949","-69.5273392053,-22.3307612935","-69.527339206,-22.3307438606",179.99787187708608,0.004358439244912962
194,"-69.52736039205,-22.33077001065","-69.5273815795,-22.3307612949","-69.5273815788,-22.3307787278","-69.5273392046,-22.3307787264","-69.5273392053,-22.3307612935",179.99787187735143,0.004358438700205677
195,"-69.52736039140001,-22.330787443549998","-69.5273815788,-22.3307787278","-69.5273815782,-22.3307961607","-69.527339204,-22.3307961593","-69.5273392046,-22.3307787264",179.9981759227278,0.00435843815549799
196,"-69.52736039075,-22.330804876400002","-69.5273815782,-22.3307961607","-69.5273815775,-22.3308135935","-69.5273392033,-22.3308135921","-69.527339204,-22.3307961593",179.99787184633726,0.004358437610060628
197,"-69.527360390075,-22.33082230925","-69.5273815775,-22.3308135935","-69.5273815768,-22.3308310264","-69.5273392027,-22.330831025","-69.5273392033,-22.3308135921",179.99802390066617,0.004358431921735716
198,"-69.52736038942501,-22.330839742149998","-69.5273815768,-22.3308310264","-69.5273815762,-22.3308484593","-69.527339202,-22.3308484579","-69.5273392027,-22.330831025",179.99802388157497,0.004358431377757654
